Nombre,Longitud,Latitud
Malinalco,-99.4949328,18.94826476
Aculco de Espinoza,-99.82702921,20.09899663
Ixtapan de la Sal,-99.67689299,18.8455277
Valle de Bravo,-100.1218606,19.1683135
San Martín de las Pirámides,-98.83023923,19.70618034
El Oro,-100.1305954,19.80199459
Teotihuacán,-98.87157262,19.68663476
Metepec,-99.59691618,19.26213007
Villa del Carbón,-99.46243726,19.7271603
Tepotzotlán,-99.21434843,19.71522398
Acolman,-98.90916038,19.6392234
Amanalco,-99.97690213,19.25685289
Amecameca,-98.76024506,19.1283595
Ayapango,-98.80191484,19.12960946
Axapusco,-98.75608701,19.72491247
Coatepec Harinas,-99.76826165,18.92526609
Donato Guerra,-100.1433481,19.30850093
Jilotepec,-99.53224387,19.95459812
Lerma,-99.48382,19.30746481
Nopaltepec,-98.71177736,19.77730489
Otumba,-98.75124414,19.69584601
Ozumba,-98.79482308,19.03688916
Papalotla,-98.85669128,19.55711869
Sultepec,-99.96643485,18.85824265
Temascalcingo,-100.0043508,19.91291808
Temascaltepec de González,-100.041007,19.04456713
Tenango del Valle,-99.58510403,19.10215
Tepetlixpa,-98.82255968,19.02734273
Tlatlmanalco,-98.80368345,19.20751729
Tonatico,-99.66868284,18.8052451
Zacualpan,-99.77654094,18.7188168
Zinancatepec,-99.7393473,19.28412997
