Municipio,Nombre,Tipo,Latitud,Longitud,Consultorios,Camas
Acambay de Ruíz Castañeda,HOSPITAL MUNICIPAL ACAMBAY IGNACIO ALLENDE BICENTENARIO,UNIDAD DE HOSPITALIZACION,19.943803,-99.869315,7,28
Acambay de Ruíz Castañeda,CENTRO DE SALUD AGOSTADERO,UNIDAD DE CONSULTA EXTERNA,20.0406,-100.002563,2,0
Acambay de Ruíz Castañeda,CENTRO DE SALUD CONEJERAS,UNIDAD DE CONSULTA EXTERNA,20.012608,-99.961818,1,0
Acambay de Ruíz Castañeda,CENTRO DE SALUD LA LOMA,UNIDAD DE CONSULTA EXTERNA,20.0201567,-100.0103716,2,0
Acambay de Ruíz Castañeda,CENTRO DE SALUD PUENTECILLAS,UNIDAD DE CONSULTA EXTERNA,20.023744,-99.965303,1,0
Acambay de Ruíz Castañeda,CENTRO DE SALUD SANTA MARIA TIXMADEJE,UNIDAD DE CONSULTA EXTERNA,19.964236,-99.940211,1,0
Acambay de Ruíz Castañeda,DATEJE,UNIDAD DE CONSULTA EXTERNA,19.997822,-99.829931,1,0
Acambay de Ruíz Castañeda,DONGU,UNIDAD DE CONSULTA EXTERNA,19.971406,-99.868027,1,0
Acambay de Ruíz Castañeda,DOXTEJE CENTRO,UNIDAD DE CONSULTA EXTERNA,19.960123,-99.951347,1,0
Acambay de Ruíz Castañeda,GANZDA,UNIDAD DE CONSULTA EXTERNA,19.989116,-99.846731,1,0
Acambay de Ruíz Castañeda,JUANDO,UNIDAD DE CONSULTA EXTERNA,20.031399,-99.998634,1,0
Acambay de Ruíz Castañeda,LA ESTANCIA I,UNIDAD DE CONSULTA EXTERNA,19.869837,-99.791793,1,0
Acambay de Ruíz Castañeda,LA ESTANCIA II,UNIDAD DE CONSULTA EXTERNA,19.85264192,-99.78470969,1,0
Acambay de Ruíz Castañeda,LA SOLEDAD,UNIDAD DE CONSULTA EXTERNA,19.924731,-99.902154,1,0
Acambay de Ruíz Castañeda,LAS MANGAS,UNIDAD DE CONSULTA EXTERNA,20.011954,-100.046686,1,0
Acambay de Ruíz Castañeda,LOS PILARES,UNIDAD DE CONSULTA EXTERNA,20.00519363,-99.71964979,1,0
Acambay de Ruíz Castañeda,MADO SECTOR I,UNIDAD DE CONSULTA EXTERNA,19.97748729,-99.76416373,1,0
Acambay de Ruíz Castañeda,MUYTEJE,UNIDAD DE CONSULTA EXTERNA,20.016863,-99.93119,1,0
Acambay de Ruíz Castañeda,SAN FRANCISCO SHAXNI,UNIDAD DE CONSULTA EXTERNA,20.050507,-99.995799,1,0
Acambay de Ruíz Castañeda,SAN JUANICO I,UNIDAD DE CONSULTA EXTERNA,19.9368797,-99.76787847,2,0
Acambay de Ruíz Castañeda,SAN PEDRO DE LOS METATES,UNIDAD DE CONSULTA EXTERNA,19.897981,-99.858239,1,0
Acambay de Ruíz Castañeda,TIXMADEJE CHIQUITO,UNIDAD DE CONSULTA EXTERNA,19.964747,-99.912561,1,0
Acambay de Ruíz Castañeda,CARAVANA ACAMBAY,UNIDAD DE CONSULTA EXTERNA,19.95467,-99.843084,2,0
Acambay de Ruíz Castañeda,PUEBLO NUEVO,UNIDAD DE CONSULTA EXTERNA,19.93228301,-99.91876346,2,0
Acambay de Ruíz Castañeda,CSU ACAMBAY,UNIDAD DE CONSULTA EXTERNA,19.95474829,-99.84298033,5,0
Acolman,TEPEXPAN DR. GUSTAVO BAZ PRADA,UNIDAD DE HOSPITALIZACION,19.61149802,-98.94102747,22,186
Acolman,HOSPITAL PSIQUIÁTRICO DR. ADOLFO M. NIETO TEPEXPAN,UNIDAD DE HOSPITALIZACION,19.612701,-98.952751,15,300
Acolman,HOSPITAL PSIQUIÁTRICO JOSÉ SAYAGO,UNIDAD DE HOSPITALIZACION,19.611483,-98.944548,2,261
Acolman,SAN MIGUEL TOTOLCINGO,UNIDAD DE CONSULTA EXTERNA,19.614527,-98.959137,3,0
Acolman,CHIPILTEPEC,UNIDAD DE CONSULTA EXTERNA,19.616243,-98.88949,3,0
Acolman,SAN FRANCISCO ZACANGO,UNIDAD DE CONSULTA EXTERNA,19.612909,-98.904739,1,0
Acolman,SANTA CATARINA,UNIDAD DE CONSULTA EXTERNA,19.635498,-98.923569,3,0
Acolman,SANTA MARÍA ACOLMAN,UNIDAD DE CONSULTA EXTERNA,19.649668,-98.904397,3,0
Acolman,ACOLMAN,UNIDAD DE CONSULTA EXTERNA,19.635994,-98.911457,3,0
Acolman,CENTRO DE SALUD LAS BRISAS,UNIDAD DE CONSULTA EXTERNA,19.597805,-98.981763,4,0
Acolman,CUANALAN,UNIDAD DE CONSULTA EXTERNA,19.614314,-98.917604,3,0
Acolman,SAN MARCOS NEPANTLA,UNIDAD DE CONSULTA EXTERNA,19.6707,-98.9308,3,0
Acolman,SAN PEDRO TEPETITLÁN,UNIDAD DE CONSULTA EXTERNA,19.630381,-98.891303,3,0
Acolman,XOMETLA,UNIDAD DE CONSULTA EXTERNA,19.643587,-98.882896,4,0
Aculco,CEAPS ACULCO,UNIDAD DE CONSULTA EXTERNA,20.095865,-99.826707,6,2
Aculco,C.S. ARROYO ZARCO,UNIDAD DE CONSULTA EXTERNA,20.104939,-99.731222,1,0
Aculco,CENTRO DE SALUD BAÑE,UNIDAD DE CONSULTA EXTERNA,20.196621,-99.843761,1,0
Aculco,CENTRO DE SALUD EL ZETHE (JAZMIN),UNIDAD DE CONSULTA EXTERNA,20.020684,-99.877403,1,0
Aculco,CENTRO DE SALUD GUNYO PONIENTE,UNIDAD DE CONSULTA EXTERNA,20.116495,-99.849868,1,0
Aculco,CENTRO DE SALUD JURICA,UNIDAD DE CONSULTA EXTERNA,20.133639,-99.763546,1,0
Aculco,CENTRO DE SALUD MOGOTE,UNIDAD DE CONSULTA EXTERNA,20.167211,-99.91447,1,0
