Municipio,Nombre,Tipo,Latitud,Longitud,ConsultoriosG,ConsultoriosO,ConsultoriosT,CamasH,CamasO,CamasT
ACAMBAY,HOSPITAL MUNICIPAL ACAMBAY IGNACIO ALLENDE BICENTENARIO,UNIDAD DE HOSPITALIZACION,19.943803,-99.869315,0,7,7,18,10,28
ACAMBAY,CENTRO DE SALUD AGOSTADERO,UNIDAD DE CONSULTA EXTERNA,20.0406,-100.002563,1,1,2,0,0,0
ACAMBAY,CENTRO DE SALUD CONEJERAS,UNIDAD DE CONSULTA EXTERNA,20.012608,-99.961818,1,0,1,0,0,0
ACAMBAY,CENTRO DE SALUD LA LOMA,UNIDAD DE CONSULTA EXTERNA,20.0201567,-100.0103716,1,1,2,0,0,0
ACAMBAY,CENTRO DE SALUD PUENTECILLAS,UNIDAD DE CONSULTA EXTERNA,20.023744,-99.965303,1,0,1,0,0,0
ACAMBAY,CENTRO DE SALUD SANTA MARIA TIXMADEJE,UNIDAD DE CONSULTA EXTERNA,19.964236,-99.940211,1,0,1,0,0,0
ACAMBAY,DATEJE,UNIDAD DE CONSULTA EXTERNA,19.997822,-99.829931,1,0,1,0,0,0
ACAMBAY,DONGU,UNIDAD DE CONSULTA EXTERNA,19.971406,-99.868027,1,0,1,0,0,0
ACAMBAY,DOXTEJE CENTRO,UNIDAD DE CONSULTA EXTERNA,19.960123,-99.951347,1,0,1,0,0,0
ACAMBAY,GANZDA,UNIDAD DE CONSULTA EXTERNA,19.989116,-99.846731,1,0,1,0,0,0
ACAMBAY,JUANDO,UNIDAD DE CONSULTA EXTERNA,20.031399,-99.998634,1,0,1,0,0,0
ACAMBAY,LA ESTANCIA I,UNIDAD DE CONSULTA EXTERNA,19.869837,-99.791793,1,0,1,0,0,0
ACAMBAY,LA ESTANCIA II,UNIDAD DE CONSULTA EXTERNA,19.85264192,-99.78470969,1,0,1,0,0,0
ACAMBAY,LA SOLEDAD,UNIDAD DE CONSULTA EXTERNA,19.924731,-99.902154,1,0,1,0,0,0
ACAMBAY,LAS MANGAS,UNIDAD DE CONSULTA EXTERNA,20.011954,-100.046686,1,0,1,0,0,0
ACAMBAY,LOS PILARES,UNIDAD DE CONSULTA EXTERNA,20.00519363,-99.71964979,1,0,1,0,0,0
ACAMBAY,MADO SECTOR I,UNIDAD DE CONSULTA EXTERNA,19.97748729,-99.76416373,1,0,1,0,0,0
ACAMBAY,MUYTEJE,UNIDAD DE CONSULTA EXTERNA,20.016863,-99.93119,1,0,1,0,0,0
ACAMBAY,SAN FRANCISCO SHAXNI,UNIDAD DE CONSULTA EXTERNA,20.050507,-99.995799,1,0,1,0,0,0
ACAMBAY,SAN JUANICO I,UNIDAD DE CONSULTA EXTERNA,19.9368797,-99.76787847,1,1,2,0,0,0
ACAMBAY,SAN PEDRO DE LOS METATES,UNIDAD DE CONSULTA EXTERNA,19.897981,-99.858239,1,0,1,0,0,0
ACAMBAY,TIXMADEJE CHIQUITO,UNIDAD DE CONSULTA EXTERNA,19.964747,-99.912561,1,0,1,0,0,0
ACAMBAY,CARAVANA ACAMBAY,UNIDAD DE CONSULTA EXTERNA,19.95467,-99.843084,1,1,2,0,0,0
ACAMBAY,PUEBLO NUEVO,UNIDAD DE CONSULTA EXTERNA,19.93228301,-99.91876346,2,0,2,0,0,0
ACAMBAY,CSU ACAMBAY,UNIDAD DE CONSULTA EXTERNA,19.95474829,-99.84298033,4,1,5,0,0,0
ACOLMAN,TEPEXPAN DR. GUSTAVO BAZ PRADA,UNIDAD DE HOSPITALIZACION,19.61149802,-98.94102747,3,19,22,184,2,186
ACOLMAN,HOSPITAL PSIQUIÁTRICO DR. ADOLFO M. NIETO TEPEXPAN,UNIDAD DE HOSPITALIZACION,19.612701,-98.952751,0,15,15,299,1,300
ACOLMAN,HOSPITAL PSIQUIÁTRICO JOSÉ SAYAGO,UNIDAD DE HOSPITALIZACION,19.611483,-98.944548,0,2,2,252,9,261
ACOLMAN,SAN MIGUEL TOTOLCINGO,UNIDAD DE CONSULTA EXTERNA,19.614527,-98.959137,2,1,3,0,0,0
ACOLMAN,CHIPILTEPEC,UNIDAD DE CONSULTA EXTERNA,19.616243,-98.88949,1,2,3,0,0,0
ACOLMAN,SAN FRANCISCO ZACANGO,UNIDAD DE CONSULTA EXTERNA,19.612909,-98.904739,1,0,1,0,0,0
ACOLMAN,SANTA CATARINA,UNIDAD DE CONSULTA EXTERNA,19.635498,-98.923569,1,2,3,0,0,0
ACOLMAN,SANTA MARÍA ACOLMAN,UNIDAD DE CONSULTA EXTERNA,19.649668,-98.904397,1,2,3,0,0,0
ACOLMAN,ACOLMAN,UNIDAD DE CONSULTA EXTERNA,19.635994,-98.911457,2,1,3,0,0,0
ACOLMAN,CENTRO DE SALUD LAS BRISAS,UNIDAD DE CONSULTA EXTERNA,19.597805,-98.981763,2,2,4,0,0,0
ACOLMAN,CUANALAN,UNIDAD DE CONSULTA EXTERNA,19.614314,-98.917604,2,1,3,0,0,0
ACOLMAN,SAN MARCOS NEPANTLA,UNIDAD DE CONSULTA EXTERNA,19.6707,-98.9308,2,1,3,0,0,0
ACOLMAN,SAN PEDRO TEPETITLÁN,UNIDAD DE CONSULTA EXTERNA,19.630381,-98.891303,2,1,3,0,0,0
ACOLMAN,XOMETLA,UNIDAD DE CONSULTA EXTERNA,19.643587,-98.882896,2,2,4,0,0,0
ACULCO,CEAPS ACULCO,UNIDAD DE CONSULTA EXTERNA,20.095865,-99.826707,3,3,6,0,2,2
ACULCO,C.S. ARROYO ZARCO,UNIDAD DE CONSULTA EXTERNA,20.104939,-99.731222,1,0,1,0,0,0
ACULCO,CENTRO DE SALUD BAÑE,UNIDAD DE CONSULTA EXTERNA,20.196621,-99.843761,1,0,1,0,0,0
ACULCO,CENTRO DE SALUD EL ZETHE (JAZMIN),UNIDAD DE CONSULTA EXTERNA,20.020684,-99.877403,1,0,1,0,0,0
ACULCO,CENTRO DE SALUD GUNYO PONIENTE,UNIDAD DE CONSULTA EXTERNA,20.116495,-99.849868,1,0,1,0,0,0
ACULCO,CENTRO DE SALUD JURICA,UNIDAD DE CONSULTA EXTERNA,20.133639,-99.763546,1,0,1,0,0,0
ACULCO,CENTRO DE SALUD MOGOTE,UNIDAD DE CONSULTA EXTERNA,20.167211,-99.91447,1,0,1,0,0,0
ACULCO,EL AZAFRAN,UNIDAD DE CONSULTA EXTERNA,20.036426,-99.718184,1,0,1,0,0,0
ACULCO,FONDO,UNIDAD DE CONSULTA EXTERNA,20.05925,-99.765006,1,0,1,0,0,0
ACULCO,LA CONCEPCIÓN,UNIDAD DE CONSULTA EXTERNA,20.14648,-99.925039,1,0,1,0,0,0
ACULCO,SAN MARTÍN EJIDO,UNIDAD DE CONSULTA EXTERNA,20.074822,-99.698706,1,0,1,0,0,0
ACULCO,SANTA ANA MATLABAT,UNIDAD DE CONSULTA EXTERNA,20.147033,-99.796646,1,0,1,0,0,0
ACULCO,SANTIAGO OXTHOC TOXHIE,UNIDAD DE CONSULTA EXTERNA,20.0169,-99.8472,1,0,1,0,0,0
ACULCO,CENTRO DE SALUD SAN JOAQUÍN COSCOMATEPEC,UNIDAD DE CONSULTA EXTERNA,20.108504,-99.899837,2,0,2,0,0,0
ACULCO,CENTRO DE SALUD SANTA MARÍA NATIVITAS,UNIDAD DE CONSULTA EXTERNA,20.093211,-99.795941,2,1,3,0,0,0
ACULCO,EJIDO SAN JERONIMO,UNIDAD DE CONSULTA EXTERNA,20.087151,-99.8644,2,0,2,0,0,0
ACULCO,SAN PEDRO DENXHI,UNIDAD DE CONSULTA EXTERNA,20.242672,-99.963906,2,0,2,0,0,0
ACULCO,CARAVANA BONXHI,UNIDAD DE CONSULTA EXTERNA,20.087212,-99.864369,1,1,2,0,0,0
ACULCO,SAN LUCAS TERCER CUARTEL,UNIDAD DE CONSULTA EXTERNA,20.144627,-99.882921,2,1,3,0,0,0
ACULCO,SAN LUCAS TOTOLMALOYA,UNIDAD DE CONSULTA EXTERNA,20.164026,-99.897604,2,0,2,0,0,0
ALMOLOYA DE ALQUISIRAS,CEAPS ALMOLOYA DE ALQUISIRAS LEANDRO VALLE,UNIDAD DE CONSULTA EXTERNA,18.859942,-99.889159,3,2,5,0,2,2
ALMOLOYA DE ALQUISIRAS,C.S. AQUIAPAN,UNIDAD DE CONSULTA EXTERNA,18.744483,-99.851612,1,0,1,0,0,0
ALMOLOYA DE ALQUISIRAS,PACHUQUILLA,UNIDAD DE CONSULTA EXTERNA,18.837742,-99.811005,1,0,1,0,0,0
ALMOLOYA DE ALQUISIRAS,PLAN DE VIGAS,UNIDAD DE CONSULTA EXTERNA,18.8108,-99.8862,1,0,1,0,0,0
ALMOLOYA DE ALQUISIRAS,SAN ANDRÉS TEPETITLAN,UNIDAD DE CONSULTA EXTERNA,18.898007,-99.918312,1,0,1,0,0,0
ALMOLOYA DE JUáREZ,LA GAVIA,UNIDAD DE CONSULTA EXTERNA,19.3876,-99.879363,1,0,1,0,0,0
ALMOLOYA DE JUáREZ,PALOS AMARILLOS,UNIDAD DE CONSULTA EXTERNA,19.539452,-99.916881,1,0,1,0,0,0
ALMOLOYA DE JUáREZ,SALITRE DE MAÑONES 2,UNIDAD DE CONSULTA EXTERNA,19.439214,-99.78827,1,0,1,0,0,0
ALMOLOYA DE JUáREZ,CEAPS DR. MANUEL URIBE Y TRONCOSO,UNIDAD DE CONSULTA EXTERNA,19.343421,-99.746698,2,3,5,0,8,8
ALMOLOYA DE JUáREZ,CIENEGUILLAS,UNIDAD DE CONSULTA EXTERNA,19.407676,-99.857312,1,1,2,0,0,0
ALMOLOYA DE JUáREZ,DILATADA SUR,UNIDAD DE CONSULTA EXTERNA,19.298581,-99.902196,1,0,1,0,0,0
ALMOLOYA DE JUáREZ,OCOYOTEPEC CENTRO,UNIDAD DE CONSULTA EXTERNA,19.495052,-99.842499,1,0,1,0,0,0
ALMOLOYA DE JUáREZ,PAREDON EJIDO,UNIDAD DE CONSULTA EXTERNA,19.386716,-99.840117,1,0,1,0,0,0
ALMOLOYA DE JUáREZ,SAN ANTONIO BUENAVISTA,UNIDAD DE CONSULTA EXTERNA,19.34876,-99.903738,1,0,1,0,0,0
ALMOLOYA DE JUáREZ,SAN PEDRO DE LA HORTALIZA,UNIDAD DE CONSULTA EXTERNA,19.389422,-99.819715,1,0,1,0,0,0
ALMOLOYA DE JUáREZ,EL ESTANCO,UNIDAD DE CONSULTA EXTERNA,19.325798,-99.884703,2,0,2,0,0,0
ALMOLOYA DE JUáREZ,MEXTEPEC,UNIDAD DE CONSULTA EXTERNA,19.460928,-99.891345,2,0,2,0,0,0
ALMOLOYA DE JUáREZ,SAN AGUSTÍN CITLALI,UNIDAD DE CONSULTA EXTERNA,19.484592,-99.796731,2,0,2,0,0,0
ALMOLOYA DE JUáREZ,SAN AGUSTÍN POTEJE CENTRO,UNIDAD DE CONSULTA EXTERNA,19.341609,-99.819729,2,0,2,0,0,0
ALMOLOYA DE JUáREZ,SANTA CATARINA TABERNILLAS,UNIDAD DE CONSULTA EXTERNA,19.467869,-99.866052,2,0,2,0,0,0
ALMOLOYA DE JUáREZ,SANTA JUANA 1A.SECC.,UNIDAD DE CONSULTA EXTERNA,19.386568,-99.737083,2,0,2,0,0,0
ALMOLOYA DE JUáREZ,YEBUCIVI,UNIDAD DE CONSULTA EXTERNA,19.504935,-99.906983,2,0,2,0,0,0
ALMOLOYA DE JUáREZ,MAYORAZGO DE LEÓN,UNIDAD DE CONSULTA EXTERNA,19.46095,-99.758147,2,0,2,0,0,0
ALMOLOYA DE JUáREZ,SAN FRANCISCO TLALCILALCALPAN,UNIDAD DE CONSULTA EXTERNA,19.29096,-99.770319,2,0,2,0,0,0
ALMOLOYA DE JUáREZ,SAN MIGUEL TLALCHICHILPAN,UNIDAD DE CONSULTA EXTERNA,19.344897,-99.759303,2,0,2,0,0,0
ALMOLOYA DE JUáREZ,SAN PEDRO DE LA CONCEPCIÓN,UNIDAD DE CONSULTA EXTERNA,19.366332,-99.765855,2,0,2,0,0,0
ALMOLOYA DE JUáREZ,SANTIAGUITO TLALCILALCALLI,UNIDAD DE CONSULTA EXTERNA,19.338716,-99.728128,2,0,2,0,0,0
ALMOLOYA DE JUáREZ,CENTRO DE SALUD SAN FRANCISCO TLALCILALCALPAN II,UNIDAD DE CONSULTA EXTERNA,19.299096,-99.780231,3,1,4,0,0,0
ALMOLOYA DE JUáREZ,SAN MIGUEL ALMOLOYAN,UNIDAD DE CONSULTA EXTERNA,19.358276,-99.802047,3,0,3,0,0,0
ALMOLOYA DE JUáREZ,CENTRO DE SALUD URBANO ALMOLOYA DE JUÁREZ,UNIDAD DE CONSULTA EXTERNA,19.36788,-99.75559,4,5,9,0,0,0
ALMOLOYA DEL RíO,CEAPS ALMOLOYA DEL RÍO LEONARDO BRAVO BICENTENARIO,UNIDAD DE CONSULTA EXTERNA,19.162937,-99.488617,2,5,7,0,6,6
AMANALCO,RINCÓN DE GUADALUPE,UNIDAD DE CONSULTA EXTERNA,19.268714,-99.991243,1,0,1,0,0,0
AMANALCO,AGUA BENDITA,UNIDAD DE CONSULTA EXTERNA,19.273532,-99.944683,1,0,1,0,0,0
AMANALCO,EL CAPULIN,UNIDAD DE CONSULTA EXTERNA,19.293376,-99.943449,1,0,1,0,0,0
